S,EQ1,EQ2,EQ3,PQ1,PQ2,PQ3,IQ1,IQ2,IQ3,E1,E2,E3,P1,P2,P3,I1,I2,I3,H1,H2,H3,C1,C2,C3,V1,V2,V3,M,R,casesI,casesIQ,casesH,deathsIIQ,deathsCV
8552906,1,3,0,0,0,0,7,12,12,31,29,21,5,7,10,11,6,11,4,3,2,4,0,0,1,0,2,144476,1302436,6,4,7,0,0
8573890,3,1,0,0,0,0,5,14,8,24,21,30,5,5,7,14,5,8,2,2,3,1,2,0,1,1,1,143030,1282917,5,6,4,0,1
8539555,0,1,1,0,0,0,11,12,9,23,31,31,6,4,11,18,16,10,2,5,1,0,0,1,1,2,1,145817,1314431,14,7,5,2,1
8583793,0,1,2,0,0,0,9,7,11,25,32,26,6,6,6,14,13,17,4,0,1,0,3,3,0,0,1,142110,1273910,8,6,3,0,2
8652256,1,1,3,0,0,0,6,14,7,19,25,31,5,12,5,10,11,12,2,1,2,1,2,3,2,0,1,134277,1213291,10,3,4,0,2
8592714,1,1,0,0,0,0,13,6,11,27,33,33,4,8,1,14,6,11,4,3,0,2,1,2,0,2,1,140304,1266798,5,5,4,0,5
8581016,1,1,0,0,1,0,14,7,6,26,22,30,5,9,2,11,8,14,3,1,1,1,2,1,0,0,0,141603,1277215,8,7,4,0,0
8583871,3,2,2,0,0,0,9,6,8,27,25,23,8,9,5,12,9,13,4,1,2,1,2,1,2,2,1,142040,1273912,5,5,5,0,1
8580050,1,2,0,0,1,0,5,3,3,31,22,32,5,4,4,14,8,14,5,2,2,2,0,1,2,0,1,142021,1277765,8,2,4,1,1
8583073,0,2,0,0,0,0,14,3,12,22,26,27,8,4,1,8,12,13,3,3,4,1,0,2,2,1,1,141146,1275612,10,7,6,2,3
8662441,2,0,1,0,0,0,9,6,9,33,26,30,7,6,7,11,5,15,3,5,2,1,2,1,1,1,0,133906,1203470,7,4,4,1,0
8645827,0,1,0,1,0,0,13,7,8,26,27,34,7,4,5,10,11,21,5,4,1,0,0,1,0,0,1,134832,1219154,8,5,8,0,1
8566846,1,1,3,0,0,0,12,5,11,17,25,24,8,5,10,10,18,4,1,5,0,1,1,1,0,1,0,143367,1289623,5,4,3,0,1
8651968,0,1,0,0,0,0,8,14,8,22,33,25,6,9,8,8,12,13,4,1,2,0,4,0,0,0,1,134671,1213182,6,4,5,1,1
8662950,1,2,1,1,1,0,7,11,7,20,28,36,6,2,7,21,14,17,1,0,2,3,2,0,0,1,0,133798,1203061,10,2,0,0,1
8678675,0,1,3,0,0,0,8,10,6,31,24,30,1,5,3,18,13,6,0,5,6,3,1,1,0,0,1,132010,1189139,12,6,6,0,0
8624680,0,0,1,0,0,0,10,8,12,31,28,25,3,4,4,16,18,13,0,3,3,1,0,1,1,1,1,137720,1237416,6,6,2,0,0
8609166,0,0,1,0,0,0,7,15,6,15,32,26,5,3,8,8,11,16,2,1,4,1,3,2,2,1,2,139179,1251484,6,3,4,1,3
